x	y	z
12.50	0.50	8.738
23.50	0.50	11.160
48.50	0.50	19.399
8.50	1.50	9.697
23.50	2.50	11.953
47.50	2.50	18.864
10.50	3.50	8.973
17.50	3.50	6.499
44.50	3.50	13.656
14.50	4.50	3.137
19.50	4.50	6.561
42.50	4.50	14.841
2.50	5.50	21.668
41.50	6.50	14.743
6.50	7.50	17.048
20.50	7.50	13.165
42.50	7.50	15.479
30.50	9.50	15.341
48.50	9.50	23.290
1.50	10.50	29.061
12.50	10.50	11.066
46.50	10.50	22.317
1.50	11.50	26.852
39.50	11.50	12.303
16.50	12.50	16.677
24.50	12.50	15.031
12.50	13.50	12.741
18.50	13.50	18.058
19.50	13.50	17.102
20.50	13.50	16.089
34.50	13.50	12.641
5.50	14.50	18.177
43.50	14.50	15.447
31.50	15.50	8.948
44.50	15.50	15.608
47.50	15.50	19.116
2.50	16.50	17.935
33.50	16.50	10.676
22.50	17.50	6.793
31.50	18.50	12.910
29.50	21.50	14.980
30.50	21.50	15.350
28.50	22.50	14.696
17.50	23.50	13.170
10.50	25.50	15.138
29.50	25.50	15.036
29.50	26.50	14.677
37.50	26.50	16.141
8.50	27.50	18.828
37.50	27.50	20.753
24.50	28.50	18.834
28.50	28.50	15.927
49.50	28.50	13.367
7.50	29.50	19.249
28.50	29.50	16.634
49.50	29.50	15.498
0.50	30.50	8.613
5.50	30.50	15.904
3.50	31.50	14.213
33.50	31.50	20.735
35.50	31.50	25.660
48.50	32.50	21.094
1.50	33.50	14.375
19.50	33.50	17.480
48.50	34.50	20.842
5.50	35.50	12.823
17.50	35.50	18.633
6.50	36.50	10.203
27.50	36.50	20.833
32.50	36.50	17.994
41.50	36.50	16.965
4.50	37.50	9.572
7.50	37.50	9.060
30.50	37.50	20.438
8.50	38.50	9.944
32.50	38.50	19.060
25.50	39.50	18.798
1.50	40.50	15.452
6.50	40.50	9.343
25.50	40.50	18.134
42.50	41.50	12.556
0.50	42.50	17.751
38.50	42.50	12.291
24.50	43.50	14.738
49.50	43.50	18.282
8.50	44.50	12.184
26.50	44.50	17.043
31.50	44.50	23.920
45.50	45.50	20.300
6.50	46.50	17.220
18.50	46.50	14.630
30.50	46.50	24.501
11.50	47.50	12.367
15.50	47.50	13.942
5.50	48.50	20.191
4.50	49.50	21.283
31.50	49.50	27.551
32.50	49.50	28.740
33.50	49.50	28.244
36.50	49.50	23.388
 33.50 	49.50	28.444
 36.50	49.50	23.388
